game_name	relise_year	func_name
Major\Minor	2016	_RPGMaker
Quest: Escape Room 2	2020	_RPGMaker
Waste Walkers	2015	_RPGMaker
Saint Emiliana	2020	_RPGMaker
Time for Quest	2019	_RPGMaker
Dreamscape	2015	_RPGMaker
Wish Giver 偿愿人	2018	_RPGMaker
Divine Miko Koyori	2020	_RPGMaker
Orogenesis	2018	_RPGMaker
Epic Quest of the 4 Crystals	2015	_RPGMaker
Tears of a Dragon	2017	_RPGMaker
Canvas Quest	2017	_RPGMaker
The Tower of Wowers	2021	_RPGMaker
Overgrown: Genesis	2020	_RPGMaker
Unveil	2016	_RPGMaker
Physical Exorcism: Case 01	2018	_RPGMaker
Gods of Havoc: Into the Void	2019	_RPGMaker
Happy Marriage Project - Starting from 9 years old -	2020	_RPGMaker
Tower Of Heresy	2020	_RPGMaker
An Occasional Dream	2017	_RPGMaker
Snares of Ruin 2	2019	_RPGMaker
莫西比亚岛	2021	_RPGMaker
The Prophecy Lies!	2019	_RPGMaker
Ender Story: Chapter 1	2018	_RPGMaker
Legend of the 9 Swords: Side Story	2019	_RPGMaker
新世勇者传	2019	_RPGMaker
Find The Treasure	2019	_RPGMaker
我的未婚妻	2021	_RPGMaker
Remnants of Isolation	2015	_RPGMaker
Monster Girl Fantasy	2019	_RPGMaker
初颜 - The Prototype	2018	_RPGMaker
Helga: Euphorium's Song	2021	_RPGMaker
Dice and the Tower of the Reanimator: Glorious Princess	2021	_RPGMaker
R.U.B.Y.寻常交织的日常	2019	_RPGMaker
Beyond Dawn	2020	_RPGMaker
The Benza RPG	2020	_RPGMaker
Illness in the East	2020	_RPGMaker
Stitched	2017	_RPGMaker
Rogue Port - Red Nightmare	2016	_RPGMaker
Moonchild	2015	_RPGMaker
随风而逝/Story About Times	2020	_RPGMaker
Evening Starter	2021	_RPGMaker
Mavi's Journey	2018	_RPGMaker
Legends of Iskaria	2017	_RPGMaker
kakusankibou / 扩散希望	2018	_RPGMaker
午餐13	2018	_RPGMaker
My name is human	2021	_RPGMaker
奇幻与砍杀 Fantasy & Blade	2019	_RPGMaker
Eredia: The Diary of Heroes	2018	_RPGMaker
Arvale	2015	_RPGMaker
Dark Elf's Adventure	2019	_RPGMaker
Journey On	2021	_RPGMaker
Yuki's Tale	2019	_RPGMaker
岚零之风 - Wind Horizon	2017	_RPGMaker
The World of Labyrinths: Labyronia	2018	_RPGMaker
Always Sometimes Monsters	2014	_RPGMaker
反抗吧！纯爱战士！	2021	_RPGMaker
Machine Made: Rebirth	2017	_RPGMaker
Millennium 4 - Beyond Sunset	2014	_RPGMaker
Silver Creek Falls - Chapter 2	2015	_RPGMaker
EvilMaze	2016	_RPGMaker
Gone Fireflies	2018	_RPGMaker
Em-A-Li	2020	_RPGMaker
The Legend of Zuri	2020	_RPGMaker
Eternal Liiivie EP2- Hiding in the dark	2021	_RPGMaker
浮生万千之前世今生	2020	_RPGMaker
ARK -the lost fairytale-	2018	_RPGMaker
Monsters of Kanji	2019	_RPGMaker
Deeproot Manor	2020	_RPGMaker
Legend of Moros	2016	_RPGMaker
Secret of the Rendrasha Blade	2021	_RPGMaker
化者天狱 Revenant in the Paradise	2019	_RPGMaker
Ether Awakening	2017	_RPGMaker
Trikumax	2019	_RPGMaker
Savior of Light	2021	_RPGMaker
Cope Island: Adrift	2019	_RPGMaker
Happy Bones	2021	_RPGMaker
Metal Quest	2017	_RPGMaker
Fantasy Realm: A Land Torn Asunder	2018	_RPGMaker
Shattered Worlds	2020	_RPGMaker
小邦迪的奇妙冒险	2021	_RPGMaker
学院逃生	2021	_RPGMaker
Obligation	2019	_RPGMaker
Tuneria	2020	_RPGMaker
La Aventura De Axel	2017	_RPGMaker
Looking Back	2019	_RPGMaker
Dungeon Crawler Daniel	2021	_RPGMaker
Obsolete Souls™	2020	_RPGMaker
蕾米的挑战	2021	_RPGMaker
FIL	2020	_RPGMaker
The Throne of Bernicia	2021	_RPGMaker
TRACHI	2021	_RPGMaker
Minotaur Maze	2021	_RPGMaker
The Last Sin	2021	_RPGMaker
